Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Banggai,10.3,10.91,9.95,11.85,11.91"
"Morowali,6.42,4.14,7.9,6.69,7.03"
"Poso,8.37,8.15,7.36,8.98,9.29"
"Donggala,12.44,10.82,11.36,14.81,9.96"
"Toli-Toli,16.83,15.48,13.66,14.23,14.3"
"Buol,10.33,10.42,8.48,10.03,10.44"
"Parigi Moutong,9.63,9.83,9.92,12.36,10.63"
"Tojo Una-Una,12.38,12.29,10.78,9.31,9.61"
"Sigi,13.33,12.6,14.11,14.12,12.56"
"Banggai Laut,16.64,15.79,13.42,11.26,11.91"
"Morowali Utara,7.4,6.31,7.1,7.4,8.75"
"Kota Palu,6.41,6.96,6,11.95,7.28"
"Kepulauan Selayar,8.66,8.45,8.14,13.6,9.72"
"Bulukumba,3.89,9.6,10.71,14.7,10.64"
"Bantaeng,4.22,4.48,8.97,11.58,8"
"Jeneponto,12.74,13.4,11.41,15.15,11.28"
"Takalar,12.66,11.14,9.71,14.23,10.07"
"Gowa,6.13,6.44,8.42,11.5,7.7"
"Sinjai,5.41,6.8,8.58,11.93,7.43"
"Maros,6.07,7.23,7.15,9.72,6.27"
"Pangkajene dan Kepulauan,2.9,4,4.17,6.15,6.6"
"Barru,8.31,8.7,8.2,11.81,10.39"
"Bone,12.57,12.69,12.55,15.01,12.09"
"Soppeng,10.13,12.87,13.14,15.03,14.61"
"Wajo,8.2,8.14,6.67,12.09,8.81"
"Sidenreng Rappang,6.25,4.58,6.81,8.71,6.33"
"Pinrang,6.7,5.99,7.1,12.21,8.12"
"Enrekang,3.85,4.94,7.48,11.32,7.85"
"Luwu,4.86,6.8,7.61,11.78,7.76"
"Tana Toraja,6.43,7.94,9.67,15.03,8.43"
"Luwu Utara,4.63,4.16,5.38,9.05,8.53"
"Luwu Timur,4.15,5.23,6.85,8.77,7"
"Toraja Utara,3.45,5.13,6.2,11.35,6.28"
"Kota Makasar,6.84,3.97,5.18,6.35,4.35"
"Kota Parepare,3.34,4.92,6.37,6.71,3.92"
"Kota Palopo,3.16,2.98,4.35,5.62,3.69"
"Buton,14.01,12.43,15.7,20.76,13.16"
"Muna,17.1,19.36,13.98,22.55,13.86"
"Konawe,6.73,8.15,8.44,14.57,9.37"
"Kolaka,4.18,6.33,7.27,13.86,11.37"
"Konawe Selatan,14.37,11.82,12.94,17.76,10.63"
"Bombana,8.94,10.04,9.62,16.4,10.75"
"Wakatobi,8,9.48,10.65,20.75,12.28"
"Kolaka Utara,5.13,6.39,7.55,11.6,8.61"
"Buton Utara,10.16,12.12,11.7,16.66,13.3"
"Konawe Utara,5.08,4.68,5.56,9.01,9.1"
"Kolaka Timur,7.37,10.67,11.25,17.3,10.88"
"Konawe Kepulauan,14.28,8.71,8.79,19.74,12.37"
"Muna Barat,15.18,15.28,14.85,20,13.29"
"Buton Tengah,11.87,16.01,17.56,15.78,17.56"
"Buton Selatan,9.93,9.6,11.65,14.08,9.88"
"Kota Kendari,7.33,5.46,6.44,15.51,7.66"
"Kota Baubau,10.05,12.95,10.84,24.6,13.05"
"Boalemo,15.55,15.72,13.99,19.09,17.47"
"Gorontalo,16.05,18.12,14.97,19.01,14.97"
"Pohuwato,17.34,18.22,18.72,20.02,15.32"
"Bone Bolango,16.03,15.54,16.03,17.59,13.25"
"Gorontalo Utara,21.04,20.52,18.9,22.84,15.77"
"Kota Gorontalo,9.05,9.16,10.84,15.17,12.96"
"Majene,6.09,5.47,6.66,9.25,9.86"
"Polewali Mandar,5.23,6.58,8.65,10.4,12.97"
"Mamasa,8.03,7.16,14.95,17.58,15.41"
"Mamuju,9.79,7.37,7.35,9.04,10.41"
"Mamuju Utara,3.84,4.97,5.48,5.19,5.38"
"Mamuju Tengah,6.53,6.18,7.4,6.98,7.83"
"Maluku Tenggara Barat,35.76,35.83,34.05,35.03,35.01"
"Maluku Tenggara,30.99,30.97,31.66,28.78,32.05"
"Maluku Tengah,30.26,34.3,34.62,36.9,35.1"
"Buru,32.36,32.66,28.23,34.38,30.87"
"Kepulauan Aru,33.31,33.39,31.68,33.74,31.1"
"Seram Bagian Barat,32.94,32.71,32.7,37.77,39.2"
"Seram Bagian Timur,33.63,33.34,31.79,30.54,35.93"
